hex	en	zh
#9ED686	Celery Sprig	芹菜小枝
#CAEDD0	Celery Stick	芹菜棍
#CCEEC2	Celery Victor	芹菜维克多
#DBD9CD	Celery White	芹菜白
#B2FFFF	Celeste	蔚蓝
#406374	Celeste Blue	蔚蓝
#007894	Celestial	天体
#11CC00	Celestial Alien	天体外星
#2C4D69	Celestial Blue	天体蓝
#0A2538	Celestial Canvas	天体画布
#DAEAF6	Celestial Cathedral	天体大教堂
#DD4455	Celestial Coral	天体珊瑚
#EAD97C	Celestial Crown	天体王冠
#992266	Celestial Dragon	天体龙
#EAEBE9	Celestial Glow	天体辉光
#2DDFC1	Celestial Green	天体绿
#7C94B3	Celestial Horizon	天体地平线
#091F92	Celestial Indigo	天体靛蓝
#C7DAE8	Celestial Light	天体浅
#E3D4B9	Celestial Moon	天体月
#9C004A	Celestial Pink	天体粉
#3C7AC2	Celestial Plum	天体梅紫
#85C1C4	Celestine	塞莱斯廷
#24A4C8	Celestine Spring	塞莱斯廷泉
#99A7AB	Celestra Grey	塞莱斯特拉·格雷
#B5C7D2	Celestyn	塞莱斯廷
#826167	Celine	席琳
#75553F	Cellar Door	地窖门
#DDB582	Cellini Gold	切利尼金
#3A4E5F	Cello	大提琴
#515153	Celluloid	赛璐珞
#E76A35	Celosia Orange	鸡冠花橙
#2B3F36	Celtic	凯尔特
#246BCE	Celtic Blue	凯尔特蓝
#006940	Celtic Clover	凯尔特三叶草
#1F6954	Celtic Green	凯尔特绿
#C5D4CE	Celtic Grey	凯尔特灰
#F5E5CE	Celtic Linen	凯尔特亚麻
#00886B	Celtic Queen	凯尔特女王
#2E4C5B	Celtic Rush	凯尔特急流
#AADEB2	Celtic Spring	凯尔特春
#8BAB68	Celuce	塞卢斯
#725671	Cembra Blossom	森布拉花
#A5A391	Cement	水泥
#7B737B	Cement Feet	水泥脚
#B5ABA4	Cement Greige	水泥灰米
#C0C7D0	Cemetery Ash	公墓灰烬
#3E7FA5	Cendre Blue	森德雷蓝
#327A68	Census	人口普查
#90673F	Centaur	半人马座
#8B6A4F	Centaur Brown	半人马棕色
#B3A7A6	Centennial Rose	百年玫瑰
#F7E077	Centeōtl Yellow	中心黄
#008B56	Center Field	中心场
#6D2400	Centipede Brown	蜈蚣棕
#C08F45	Centra	森特拉
#685549	Centre Earth	地球中心
#817A69	Centre Ridge	中心山脊
#C8C7CB	Centre Stage	舞台中央
#9C7B87	Century’s Last Sunset	世纪最后的日落
#FCFFF9	Ceramic	陶瓷
#EDD1AC	Ceramic Beige	陶瓷米色
#16A29A	Ceramic Blue Turquoise	陶瓷蓝青
#A05843	Ceramic Brown	陶瓷棕
#E8A784	Ceramic Glaze	陶瓷釉
#3BB773	Ceramic Green	陶瓷绿
#908268	Ceramic Pot	陶瓷壶
#FEFEE0	Ceramite White	陶粒白
#EFD7AB	Cereal Flake	谷物片
#CCCBCD	Cerebellum Grey	小脑灰
#CCCCCC	Cerebral Grey	脑灰
#D69E59	Ceremonial Gold	礼仪金
#91998E	Ceremonial Grey	礼仪灰
#C38B82	Ceremonial Ochre	礼仪赭色
#2A2756	Ceremonial Purple	仪式紫色
#997B00	Cerignola Olive	切里尼奥拉橄榄
#AD134E	Cerise	樱桃红
#EC3B83	Cerise Pink	樱桃红粉
#DE3163	Cerise Red	樱桃红
#F2BDA2	Certain Peach	某种桃
#55AAEE	Cerulean	蔚蓝
#2A52BE	Cerulean Blue	蔚蓝
#6D9BC3	Cerulean Frost	蔚蓝霜
#8CC6CB	Cerulean Skies	蔚蓝天空
#ACBFCD	Cerulean Tint	蔚蓝调
#337EFF	Ceruleite	蓝晶石
#001440	Cetacean Blue	鲸豚蓝
#33431E	Ceylanite	硅兰石
#F3E9D6	Ceylon Cream	锡兰奶油
#D4AE40	Ceylon Yellow	锡兰黄
#756858	Ceylonese	锡兰语
#007AA5	CG Blue	CG蓝
#E03C31	CG Red	CG红
#56FFFF	CGA Blue	CGA蓝
#FC0FC0	CGA Pink	CGA粉
#77926F	Chá Lǜ Green	茶绿
#FFDB92	Cha-Cha-Cha	恰恰
#EC7D2C	Chaat Masala	查特玛莎拉
#FDE9E0	Chablis	夏布利
#F6E0CF	Chafed Wheat	磨碎的小麦
#008B62	Chagall Green	夏加尔绿
#EBCFAE	Chai	印度奶茶
#F9CBA0	Chai Latte	印度奶茶拿铁
#BD7C4F	Chai Spice	印度奶茶辛香
#A97B2D	Chai Tea	印度奶茶
#EFD7B3	Chai Tea Latte	印度奶茶拿铁
#708090	Chain Gang Grey	链帮灰色
#847E78	Chain Link	链节
#81777F	Chain Mail	锁子甲
#A4A6A4	Chain Reaction	连锁反应
#C1B2B3	Chaise Mauve	贵妃淡紫
#8B5E8F	Chakra	脉轮
#DDDD99	Chalcedony	玉髓
#4B6057	Chalcedony Green	玉髓绿
#6770AE	Chalcedony Violet	玉髓紫
#C29867	Chalet	小木屋
#5A6E41	Chalet Green	绿色木屋
#EDEAE5	Chalk	粉笔
#EAEBE6	Chalk Dust	粉笔尘
#E0CEB7	Chalkware	粉笔器
#DFC281	Chalky	白垩色
#D0EBF1	Chalky Blue White	白垩色蓝白
#CD7A50	Challah Bread	白面包
#475877	Chambray	钱布雷布
#93AECE	Chambray Blue	青年布蓝
#CEDAAC	Chameleon	变色龙
#C0C2A0	Chameleon Tango	变色龙探戈
#E8CD9A	Chamois	麂皮
#F0E1D0	Chamois Cloth	麂皮布
#AD8867	Chamois Leather	麂皮皮革
#B3A385	Chamois Tan	麂皮棕褐
#986E19	Chamois Yellow	麂皮黄
#A0785A	Chamoisee	羚羊
#E4C697	Chamomile	洋甘菊
#DAC395	Chamomile Tea	洋甘菊茶
#E9D2AC	Champagne	香槟
#D4C49E	Champagne Beige	香槟米色
#F0E1C5	Champagne Bliss	香槟极乐
#DDCEAD	Champagne Bubbles	香槟泡泡
#F1E4CB	Champagne Burst	香槟爆发
#E3D7AE	Champagne Cocktail	香槟鸡尾酒
#EBD3E4	Champagne Elegance	香槟优雅
#F6ECE2	Champagne Flute	香槟长笛
#D7C1B4	Champagne Glee	香槟欢乐合唱团
#E8D6B3	Champagne Gold	香槟金
#C5B067	Champagne Grape	香槟葡萄
#F3E5DD	Champagne Ice	香槟冰
#FFDFB0	Champagne Orange	香槟橙
#FADDC4	Champagne Peach	香槟桃
#E3D6CC	Champagne Rose	香槟玫红
#F8EEC4	Champagne Tickle	香槟痒痒
#F4E1C6	Champagne Toast	香槟吐司
#EFD4AE	Champagne Wishes	香槟愿望
#949089	Champignon	香菇
#7B5986	Champion	冠军
#606788	Champion Blue	冠军蓝
#435572	Champlain Blue	尚普兰蓝
#A0A6A9	Chance of Rain	下雨的可能性
#A5BCBA	Chance of Showers	有阵雨的机会
#ECBA5D	Chandra Cream	钱德拉霜
#F4AFCD	Changeling Pink	幻形灵粉色
#B6927C	Changing Seasons	季节变化
#F1C3C2	Channel	频道
#04D8B2	Channel Marker Green	通道标记绿色
#A0928D	Channel Seal Grey	通道密封灰色
#EEE8D2	Chanoyu	茶之汤
#FFC66E	Chanterelle	鸡油菌
#A28776	Chanterelle Sauce	鸡油菌酱
#870000	Chanticleer	殿堂级
#EDB8C7	Chantilly	尚蒂伊
#F1E2DE	Chantilly Lace	尚蒂伊蕾丝
#0F0F0F	Chaos Black	混沌黑
#740600	Chaotic Red	混沌红
#BB2266	Chaotic Roses	混乱玫瑰
#E5D0B0	Chaparral	丛林
#DEE5EC	Chapeau Violet	起首紫罗兰
#B0D2E7	Chapel Blue	教堂蓝
#BBD1E2	Chapel Choir	教堂合唱团
#EDE2AC	Chapel Wall	教堂墙
#644B41	Chaps	查普斯
#9F9369	Chapter	章
#B79779	Char Latte	查拿铁
#394043	Charade	夏利
#504D4C	Charadon Granite	查拉东花岗岩
#343837	Charcoal	炭
#5D625C	Charcoal Briquette	木炭块
#595758	Charcoal Dust	炭尘
#5D5B56	Charcoal Sketch	炭笔素描
#474F43	Charcoal Smoke	炭烟
#60605E	Charcoal Smudge	木炭涂抹
#949D8D	Charcoal Tint	炭调
#48553F	Chard	瑞士甜菜
#F8EADF	Chardon	查尔顿
#EFE8BC	Chardonnay	霞多丽
#632A60	Charisma	魅力
#E7C180	Charismatic	魅力型
#EE2244	Charismatic Red	魅力红
#9AC1DC	Charismatic Sky	魅力天空
#9F414B	Charleston Cherry	查尔斯顿樱桃
#C09278	Charleston Chocolate	查尔斯顿巧克力
#232B2B	Charleston Green	查尔斯顿格林
#995500	Charlie Brown	查理·布朗
#948263	Charlie Horse	查理·马
#E2E483	Charlock	查洛克
#A4DCE6	Charlotte	夏洛特
#D0748B	Charm	魅力
#E68FAC	Charm Pink	魅力粉
#EBCFC7	Charmed	迷住了
#A1A1A0	Charmed Chalice	迷人的圣杯
#007F3A	Charmed Green	魅力绿
#FF90A2	Charming Cherry	迷人的樱桃
#D4E092	Charming Green	迷人绿
#11BB44	Charming Nature	迷人的自然风光
#F5AD75	Charming Peach	迷人桃子
#EDD3D2	Charming Pink	迷人粉色
#8C7281	Charming Violet	迷人的紫罗兰
#6A577F	Charoite Violet	紫龙晶紫
#F1EBEA	Charolais Cattle	夏洛莱牛
#A1A29C	Charon	卡戎
#3E0007	Charred Brown	烧焦的棕色
#553B3D	Charred Chocolate	烧焦的巧克力
#885132	Charred Clay	烧焦的粘土
#5B4E4A	Charred Hickory	烧焦的山核桃木
#C01205	Charsiu	查尔休
#B2CCE1	Charted	绘制图表
#69B2CF	Charter	宪章
#546E91	Charter Blue	宪章蓝
#C1F80A	Chartreuse	查特酒绿
#E4DCC6	Chartreuse Frost	查特酒绿霜
#DAD000	Chartreuse Shot	查特酒一饮
#B5CC18	Chartreuse Spark	黄绿色火花
#16A3CB	Charybdis	卡律布狄斯
#876044	Chasm	鸿沟
#63B521	Chasm Green	深渊绿
#9944EE	Chaste Blossoms	贞洁之花
#F79A3E	Chat Orange	聊天橙子
#B5A28A	Chateau	城堡
#5B4B44	Chateau Brown	城堡棕
#A2AAB3	Chateau de Chillon	西庸城堡
#419F59	Chateau Green	城堡绿
#7C583A	Chateau Mantle	地幔城堡
#DBA3CE	Chateau Rose	玫瑰庄园
#B3ABB6	Chatelle	沙泰勒
#2C5971	Chathams Blue	查塔姆斯蓝
#B0AB9C	Chatroom	聊天室
#89B386	Chatty Cricket	健谈的蟋蟀
#A09287	Chatura Beige	查图拉米色
#C7E2C6	Chayote	佛手瓜
#ED214D	Che Guevara Red	切格瓦拉红
#EEB15D	Cheater	骗子
#EE9A09	Cheddar	切达干酪
#D2AD87	Cheddar Biscuit	切达饼干
#F0843A	Cheddar Cheese	切达干酪
#F9C982	Cheddar Chunk	切达干酪块
#F5D4B5	Cheddar Corn	切达玉米
#B67DAF	Cheddar Pink Mauve	切达粉淡紫
#A55A55	Cheek Red	腮红
#7B4D3A	Cheeky Chestnut	厚脸皮栗子
#DCC7C0	Cheerful Heart	欢快心
#FFE195	Cheerful Hue	欢快色调
#FDA471	Cheerful Tangerine	欢快柑橘
#D3D7E7	Cheerful Whisper	欢快低语
#7E4258	Cheerful Wine	欢快酒红
#FFC723	Cheerful Yellow	欢快黄
#BCCB08	Cheerly Kiwi	快乐的猕猴桃
#C09962	Cheers!	干杯！
#F08A88	Cheery	开朗
#FFA600	Cheese	奶酪
#FDDE45	Cheese It Up	奶酪
#FF9613	Cheese Please	请加奶酪
#FFE4BE	Cheese Powder	奶酪粉
#FFB96F	Cheese Puff	奶酪泡芙
#DFAD51	Cheese Wiz	奶酪奇才
#FFFCDA	Cheesecake	芝士蛋糕
#FFCC77	Cheesus	奶酪
#EEB033	Cheesy Cheetah	俗气的猎豹
#F0E093	Cheesy Frittata	奶酪菜肉馅煎蛋饼
#FAE195	Cheesy Grin	俗气的笑容
#F3F4F5	Chef’s Hat	厨师帽
#CC3B3B	Chef’s Kiss	厨师之吻
#A3D1E8	Chefchaouen Blue	舍夫沙万蓝
#88A95B	Chelsea Cucumber	切尔西黄瓜
#546D66	Chelsea Garden	切尔西花园
#95532F	Chelsea Gem	切尔西宝石
#B6B7B0	Chelsea Grey	切尔西·格雷
#BEAC9F	Chelsea Mauve	切尔西淡紫
#F94009	Chéng Hóng Sè Orange	橙红
#A6CD91	Chenille	雪尼尔
#F1E7D6	Chenille Spread	雪尼尔传播
#F9EFE2	Chenille White	雪尼尔白
#DEC371	Chenin	白诗南
#22BBFF	Cherenkov Radiation	切伦科夫辐射
#F4E3CB	Cherish Cream	珍爱霜
#E6E4DA	Cherish Is the Word	珍惜这句话
#CCACD7	Cherish the Moment	珍惜当下
#BA97B1	Cherished	珍惜
#FC9293	Cherished One	珍惜的人
#AC0132	Chernobog	切尔诺博格
#E3DCDA	Chernobog Breath	切尔诺伯格呼吸
#F5CD82	Cherokee	切罗基
#DD7722	Cherokee Dignity	切罗基尊严
#824E4A	Cherokee Red	切诺基红
#A22452	Cherries Jubilee	樱桃禧年
#CF0234	Cherry	樱桃
#908279	Cherry Bark	樱桃树皮
#9F4D65	Cherry Berry	樱桃浆果
#AD5344	Cherry Blink	樱桃眨眼
#F5C1D5	Cherry Blossom	樱桃花
#FFB7C5	Cherry Blossom Pink	樱桃花粉
#FFC9DD	Cherry Blush	樱桃绯红
#B73D3F	Cherry Bomb	樱桃炸弹
#E26B81	Cherry Brandy	樱桃白兰地
#FFBBB4	Cherry Chip	樱桃片
#883F41	Cherry Cobbler	樱桃馅饼
#8E5E65	Cherry Cocoa	樱桃可可
#894C3B	Cherry Cola	樱桃可乐
#EBBED3	Cherry Cordial	樱桃甜酒
#C71414	Cherry Crush	樱桃迷恋
#BD6973	Cherry Fizz	樱桃气泡
#FBDAE8	Cherry Flower	樱桃花
#F392A0	Cherry Foam	樱桃泡沫
#CB6276	Cherry Fruit	樱桃果
#CC5160	Cherry Hill	樱桃丘陵
#DD98A6	Cherry Ice	樱桃冰
#BD9095	Cherry Juice	樱桃汁
#6C2C45	Cherry Juice Red	樱桃汁红
#A32E39	Cherry Kiss	樱桃吻
#B15E67	Cherry Kisses	樱桃吻
#C8385A	Cherry Lolly	樱桃棒棒糖
#6A332D	Cherry Mahogany	樱桃桃花心木
#A57C7A	Cherry Mocha	樱桃摩卡
#AC495C	Cherry on Top	上面有樱桃
#FE314B	Cherry Paddle Pop	樱桃冰棒
#F9E7F4	Cherry Pearl	樱桃珍珠
#620B15	Cherry Picking	樱桃采摘
#BD2C22	Cherry Pie	樱桃派
#C7607B	Cherry Pink	樱桃粉
#A10047	Cherry Plum	樱桃梅紫
#A64137	Cherry Race	樱桃赛跑
#F7022A	Cherry Red	樱桃红
#C92435	Cherry Sangria	樱桃桑格利亚红
#D81D26	Cherry Shine	樱桃光泽
#FF0044	Cherry Soda	樱桃苏打
#E76178	Cherry Static	樱桃静态
#933D3E	Cherry Tart	樱桃塔
#B7938F	Cherry Taupe	樱桃灰褐
#F2013F	Cherry Tomato	樱桃番茄
#DFB7B4	Cherry Tree	樱桃树
#E10646	Cherry Velvet	樱桃绒
#B04556	Cherry Wine	樱桃酒红
#B22743	Cherryade	樱桃酒
#F79890	Cherrystone	樱桃石
#651A14	Cherrywood	樱桃木
#848182	Chert	燧石
#F5D7DC	Cherub	小天使
#FFE6F1	Cherubic	天使般的
#ABBD90	Chervil Leaves	山萝卜叶
#FFE9C5	Chess Ivory	国际象棋象牙
#876B4B	Chester Brown	切斯特棕
#742802	Chestnut	栗
#9A6844	Chestnut Beach	栗海滩
#C19C86	Chestnut Bisque	栗浓汤
#6D1008	Chestnut Brown	栗棕
#BCA486	Chestnut Butter	栗黄油
#8E5637	Chestnut Chest	栗木箱
#EBC795	Chestnut Dressing	栗沙拉酱
#874E2D	Chestnut Glaze	栗釉
#AB8508	Chestnut Gold	栗金
#2A4F21	Chestnut Green	栗绿
#60281E	Chestnut Leather	栗皮革
#6D3C32	Chestnut Peel	栗皮
#852E19	Chestnut Plum	栗梅紫
#6C333F	Chestnut Red	栗红
#CD5252	Chestnut Rose	栗玫红
#ADFF2F	Chestnut Shell	栗壳
#995D3B	Chestnut Stallion	栗色种马
#EAF1E6	Chestnut White	栗白
#516FA0	Chesty Bond	胸部邦德
#666FB4	Chetwode Blue	切特沃德蓝
#F6F2E8	Cheviot	切维奥特
#E6B0AF	Chewing Gum	口香糖
#E292B6	Chewing Gum Pink	口香糖粉红色
#977043	Chewy Caramel	耐嚼焦糖
#9F918A	Cheyenne Rock	夏安岩
#D52B2D	Chi-Gong	气功
#EEECB5	Chia	奇亚籽
#734342	Chianti	基安蒂
#A4725A	Chic Brick	别致砖
#D8EBD6	Chic Green	别致绿
#CFCCC5	Chic Grey	别致灰
#EDE1C8	Chic Magnet	魅力磁铁
#F0D1C8	Chic Peach	别致桃
#7C9270	Chic Shade	别致暗调
#AA9788	Chic Taupe	别致灰褐
#5B5D56	Chicago	芝加哥
#B6DBE9	Chicago Blue	芝加哥蓝
#CAC2BD	Chicago Fog	芝加哥雾
#96ADBA	Chicago Skyline	芝加哥天际线
#E2C555	Chicco d’Oro	奇科多罗
#7E6072	Chicha Morada	奇查·莫拉达
#BF7D80	Chick Flick	小鸡弗利克
#FFCF65	Chickadee	山雀
#DD2222	Chicken Comb	鸡冠
#CC8822	Chicken Masala	玛莎拉鸡
#FBE98E	Chickery Chick	鸡鸡
#EFE7DF	Chickpea	鹰嘴豆
#D9DFE3	Chickweed	繁缕
#D9EEB4	Chicon	奇康
#A78658	Chicory	菊苣
#4D3730	Chicory Coffee	菊苣咖啡
#66789A	Chicory Flower	菊苣花
#BBAB75	Chicory Green	菊苣绿
#5F423F	Chicory Root	菊苣根
#6A5637	Chieftain	酋长
#F0F5BB	Chiffon	雪纺
#DBC963	Chifle Yellow	雪芙黄
#EAE5C5	Child of Heaven	孩子天堂
#F0F4F8	Child of Light	孩子浅
#C68D37	Child of the Moon	孩子月
#220077	Child of the Night	孩子夜
#E7BCD4	Child’s Play	儿童游戏
#E26D68	Childhood Crush	童年暗恋
#A5A8D6	Childish Wonder	幼稚的奇迹
#E8C0CF	Childlike	童趣
#A1CED7	Children’s Soft Blue	儿童柔和蓝色
#D05E34	Chilean Fire	智利火
#F9F7DE	Chilean Heath	智利荒原
#C9CBC1	Chilean Sea Bass	智利海鲈鱼
#D1D5E7	Chill in the Air	空气中寒意
#256D8D	Chill of the Night	夜寒
#EC4236	Chilled Chilly	冰镇 冰镇
#CBCDB2	Chilled Cucumber	冰鲜黄瓜
#FFE696	Chilled Lemonade	冰镇柠檬水
#E4EFDE	Chilled Mint	冰镇薄荷
#6D4052	Chilled Wine	冰镇酒
#BE4B41	Chilli	辣椒
#4B1C35	Chilli Black Red	辣椒黑红
#CC5544	Chilli Cashew	辣椒腰果
#985E2B	Chilli Con Carne	辣椒酱
#E93A0E	Chilli Crab	辣椒蟹
#F0B692	Chilli Dip	辣椒酱
#8D7040	Chilli Green	辣椒绿
#9D453C	Chilli Oil	辣椒油
#AC1E3A	Chilli Pepper	辣椒胡椒
#BC4E40	Chilli Sauce	辣椒酱
#CA7C74	Chilli Soda	辣椒苏打
#8AAEC3	Chilly Blue	清冷蓝
#FD9989	Chilly Spice	清冷辛香
#E5F1ED	Chilly White	清冷白
#74626D	Chimaera	奇美拉
#C89B75	Chimaera Brown	奇美拉棕
#B16355	Chimayo Red	奇马约红
#C7CA86	Chimes	编钟
#4A5257	Chimney	烟囱
#3C4247	Chimney Smoke	烟囱烟雾
#272F38	Chimney Sweep	烟囱清扫工
#DD3355	Chin-Chin Cherry	钦钦樱桃
#444C60	China Aster	瓷紫菀
#5A6C80	China Blue	瓷蓝
#8A7054	China Cinnamon	瓷肉桂
#718B9A	China Clay	瓷黏土
#F8F0E5	China Cup	瓷杯
#F3E4D5	China Doll	中国娃娃
#3A6468	China Green Blue	瓷绿蓝
#FBF3D3	China Ivory	瓷象牙
#BCC9C7	China Light Green	瓷浅绿
#3D5C77	China Pattern	瓷器纹样
#DF6EA1	China Pink	瓷粉
#AD2B10	China Red	瓷红
#A8516E	China Rose	瓷玫红
#034F7C	China Seas	瓷海
#E3D1CC	China Silk	瓷丝
#EAE6D9	China White	瓷白
#464960	Chinaberry	楝树
#D6C2D2	Chinaberry Bloom	楝树花
#9C8E7B	Chinchilla	龙猫
#D0BBA7	Chinchilla Chenille	龙猫雪尼尔
#7F746E	Chinchilla Grey	龙猫灰
#4D5AAF	Chinese Bellflower	桔梗
#111100	Chinese Black	中国黑
#365194	Chinese Blue	中国蓝
#CD8032	Chinese Bronze	中国古铜
#AB381F	Chinese Brown	中国棕
#F1D7CB	Chinese Cherry	中国樱桃
#CB5251	Chinese Dragon	中国龙
#006967	Chinese Garden	中国花园
#DDAA00	Chinese Gold	中国金
#F34723	Chinese Goldfish	中国金鱼
#D0DB61	Chinese Green	中国绿
#EBDBCA	Chinese Hamster	中国仓鼠
#E09E87	Chinese Ibis Brown	中国鹮棕
#3F312B	Chinese Ink	中国墨
#CBD1BA	Chinese Jade	中国翡翠
#60C7C2	Chinese Lacquer	中国漆
#F09056	Chinese Lantern	中国灯笼
#CCD6B0	Chinese Leaf	中国叶
#A4BE5C	Chinese Money Plant	金钱草
#FF3366	Chinese New Year	中国新年
#AA381E	Chinese Night	中国夜
#F37042	Chinese Orange	中国橙
#DE70A1	Chinese Pink	中国粉
#3A5F7D	Chinese Porcelain	中国瓷器
#720B98	Chinese Purple	中国紫
#CD071E	Chinese Red	中国红
#B94047	Chinese Safflower	中国红花
#D8D3B2	Chinese Silk	中国丝
#DDDCEF	Chinese Silver	中国银
#ACAD98	Chinese Tea Green	中国茶绿
#8FBFBD	Chinese Tzu	中国慈子
#92698F	Chinese Violet	中国紫罗兰
#E2E5DE	Chinese White	中国白
#DBD2BB	Chino	奇诺
#7C8C87	Chinois Green	中国绿
#9DD3A8	Chinook	奇努克
#C8987E	Chinook Salmon	奇努克鲑鱼
#554747	Chinotto	奇诺托
#D5C7B9	Chintz	印花棉布
#ECBCB6	Chintz Rose	印花布玫瑰
#CFA14A	Chipmunk	花栗鼠
#AA4433	Chipolata	奇波拉塔
#683E3B	Chipotle Paste	墨西哥辣椒酱
#DDD618	Chips Provencale	普罗旺斯薯条
#026B67	Chitin Green	甲壳素绿
#AEB2C0	Chivalrous	侠义
#C7662A	Chivalrous Fox	侠狐
#816558	Chivalrous Walrus	侠义海象
#5D99B1	Chivalry	骑士精神
#BF784E	Chivalry Copper	侠铜
#4D5637	Chive	细香葱
#4F3650	Chive Bloom	细香葱绽放
#86619F	Chive Blossom	细香葱花
#A193BF	Chive Flower	细香葱花
#56AE57	Chlorella Green	小球藻绿
#93D8C2	Chloride	氯化物
#5E8E82	Chlorite	绿泥石
#44891A	Chlorophyll	叶绿素
#B3D6C3	Chlorophyll Cream	叶绿素霜
#4AFF00	Chlorophyll Green	叶绿素绿
#75876E	Chlorosis	失绿症
#B4835B	Choco Biscuit	巧克力饼干
#993311	Choco Chic	巧克力别致
#63493E	Choco Death	巧克力之死
#7D5F53	Choco Loco	巧克力乐可
#F9BC08	Chocobo Feather	陆行鸟羽毛
#993300	Chocoholic	巧克力狂
#D2691E	Chocolate	巧克力
#773333	Chocolate Bar	巧克力棒
#775130	Chocolate Bells	巧克力铃
#782A2E	Chocolate Bhut Jolokia	巧克力断魂椒
#7F6054	Chocolate Bliss	巧克力极乐
#7E4F35	Chocolate Bonbon	巧克力夹心糖
#765841	Chocolate Caliente	巧克力卡连特
#452207	Chocolate Castle	巧克力城堡
#8A4438	Chocolate Cherry	巧克力樱桃
#928178	Chocolate Chiffon	巧克力雪纺
#AB4231	Chocolate Chilli	巧克力辣椒
#6E5F52	Chocolate Chip	巧克力片
#6B574A	Chocolate Chunk	巧克力块
#644D42	Chocolate Coco	巧克力可可
#58111A	Chocolate Cosmos	巧克力宇宙
#8B4121	Chocolate Covered	巧克力覆盖
#A89581	Chocolate Cream Pie	巧克力奶油派
#605647	Chocolate Cupcake	巧克力纸杯蛋糕
#916D5E	Chocolate Curl	巧克力卷曲
#96786D	Chocolate Delight	巧克力喜悦
#6B5947	Chocolate Diamonds	巧克力钻石
#674848	Chocolate Eclair	巧克力泡芙
#623D2E	Chocolate Escape	巧克力逃离
#8E473B	Chocolate Explosion	巧克力爆炸
#5C3612	Chocolate Fantasies	巧克力幻想
#603932	Chocolate Fondant	巧克力翻糖
#9A3001	Chocolate Fondue	巧克力火锅
#9E5B40	Chocolate Fountain	巧克力喷泉
#DED5C8	Chocolate Froth	巧克力泡沫
#8F786C	Chocolate Heart	巧克力心
#3C1421	Chocolate Kiss	巧克力吻
#66433B	Chocolate Lab	巧克力拉布拉多
#993322	Chocolate Lust	巧克力欲望
#7A463A	Chocolate Magma	巧克力岩浆
#331100	Chocolate Melange	巧克力混合物
#976F4C	Chocolate Milk	巧克力奶
#998069	Chocolate Moment	巧克力时刻
#B5A39C	Chocolate Oatmeal	巧克力燕麦
#BB5544	Chocolate Oatmeal Cookie	巧克力燕麦饼干
#884400	Chocolate Pancakes	巧克力煎饼
#3F2F31	Chocolate Plum	巧克力梅紫
#A58C7B	Chocolate Powder	巧克力粉
#66424D	Chocolate Praline	巧克力果仁糖
#60504B	Chocolate Pretzel	巧克力椒盐卷饼
#6F6665	Chocolate Pudding	巧克力布丁
#714F29	Chocolate Rain	巧克力雨
#4D3635	Chocolate Red	巧克力红
#76604E	Chocolate Ripple	巧克力波纹
#4E1B0B	Chocolate Rush	巧克力奔涌
#5C4945	Chocolate Soul	巧克力灵魂
#8C6C6F	Chocolate Sparkle	巧克力闪光
#6F4E43	Chocolate Sprinkle	巧克力洒
#84563C	Chocolate Stain	巧克力染色
#68574B	Chocolate Swirl	巧克力漩涡
#956E5F	Chocolate Temptation	巧克力的诱惑
#5F4940	Chocolate Therapy	巧克力疗法
#403534	Chocolate Torte	巧克力果仁蛋糕
#612E32	Chocolate Truffle	巧克力松露
#7F7453	Chocolate Velvet	巧克力绒
#937979	Chocolaty	巧克力
#F2E1D1	Choice Cream	精选面霜
#8F583C	Chōjicha Brown	丁子茶棕色
#92000A	Chokecherry	苦樱桃
#867578	Choo Choo	楚楚
#C7BCA1	Chopped Almonds	杏仁碎
#336B4B	Chopped Chive	切碎的香葱
#B6C2A1	Chopped Dill	切碎的莳萝
#E0D1B8	Chopsticks	筷子
#B77795	Choral Singer	合唱歌手
#AA0011	Chorizo	香肠
#8E8987	Chorus of Elephants	大象合唱团
#8C9632	Chorus of Frogs	青蛙合唱团
#FF6301	Chos Garden Marigold	乔斯花园万寿菊
#B95754	Chōshun Red	长春红
#EBCF7D	Choux à la Crème	奶油泡芙
#E5D2B2	Chowder Bowl	杂烩碗
#382161	Christalle	克里斯塔勒
#71A91D	Christi	克里斯蒂
#009094	Christina Brown	克里斯蒂娜棕
#2A8FBD	Christmas Blue	圣诞蓝
#5D2B2C	Christmas Brown	圣诞棕
#CAA906	Christmas Gold	圣诞金
#3C8D0D	Christmas Green	圣诞绿
#68846A	Christmas Holly	圣诞冬青
#477266	Christmas Ivy	圣诞常春藤
#D56C2B	Christmas Orange	圣诞橙
#6E5A49	Christmas Ornament	圣诞饰品
#E34285	Christmas Pink	圣诞粉
#564342	Christmas Pudding	圣诞布丁
#4D084B	Christmas Purple	圣诞紫
#B01B2E	Christmas Red	圣诞红
#FFDDBB	Christmas Rose	圣诞玫红
#E1DFE0	Christmas Silver	圣诞银
#D4C5BA	Christobel	克里斯托贝尔
#F6BBCA	Christy’s Smile	克里斯蒂的微笑
#292929	Chromaphobic Black	嫌色黑
#E1DFE1	Chrome	铬
#A8A9AD	Chrome Aluminium	铬铝
#CDC8D2	Chrome Chalice	镀铬圣杯
#E7EDDD	Chrome Green	铬绿
#CAC7B7	Chrome White	铬白
#FFA700	Chrome Yellow	铬黄
#82CAFC	Chromis Damsel Blue	克罗米斯少女蓝
#06B48B	Chromophobia Green	恐色绿
